question,Réponse,Categorie
je souhaiterais comprendre questce quun impayé chargeback ,"Un chargeback est le rejet d'une transaction de l'émetteur vers l'acquéreur, qui peut survenir pour des raisons telles que des erreurs dans le traitement ou des litiges entre le porteur et le commerçant.",Transaction
à propos de questce quun impayé chargeback  pourriezvous détailler ,"Un chargeback est le rejet d'une transaction de l'émetteur vers l'acquéreur, qui peut survenir pour des raisons telles que des erreurs dans le traitement ou des litiges entre le porteur et le commerçant.",Transaction
pour quelles raisons un impayé peutil être émis ,"Un impayé peut être émis en cas de non-respect des procédures par le commerçant, erreur dans le traitement de la transaction, contestation du porteur, ou démarche frauduleuse suspectée.",Transaction
pourriezvous expliquer pour quelles raisons un impayé peutil être émis ,"Un impayé peut être émis en cas de non-respect des procédures par le commerçant, erreur dans le traitement de la transaction, contestation du porteur, ou démarche frauduleuse suspectée.",Transaction
je souhaiterais comprendre pour quelles raisons un impayé peutil être émis ,"Un impayé peut être émis en cas de non-respect des procédures par le commerçant, erreur dans le traitement de la transaction, contestation du porteur, ou démarche frauduleuse suspectée.",Transaction
à propos de pour quelles raisons un impayé peutil être émis  pourriezvous détailler ,"Un impayé peut être émis en cas de non-respect des procédures par le commerçant, erreur dans le traitement de la transaction, contestation du porteur, ou démarche frauduleuse suspectée.",Transaction
comment fonctionne le processus de paiement via paypal ,"PayPal permet de réaliser des paiements en ligne de manière sécurisée. Le porteur crée un compte, associe sa carte de paiement et valide les transactions via un code à 4 chiffres envoyé par PayPal.",Transaction
de quelle manière fonctionne le processus de paiement via paypal ,"PayPal permet de réaliser des paiements en ligne de manière sécurisée. Le porteur crée un compte, associe sa carte de paiement et valide les transactions via un code à 4 chiffres envoyé par PayPal.",Transaction
quelle est la méthode pour fonctionne le processus de paiement via paypal ,"PayPal permet de réaliser des paiements en ligne de manière sécurisée. Le porteur crée un compte, associe sa carte de paiement et valide les transactions via un code à 4 chiffres envoyé par PayPal.",Transaction
pourriezvous expliquer comment fonctionne le processus de paiement via paypal ,"PayPal permet de réaliser des paiements en ligne de manière sécurisée. Le porteur crée un compte, associe sa carte de paiement et valide les transactions via un code à 4 chiffres envoyé par PayPal.",Transaction
quelles sont les commissions appliquées lors dune transaction mastercard ,"Les commissions sont prélevées sur le compte en dinar, sauf pour la partie fixe qui reste en devise. Elles sont en cours de mise en production.",Transaction
quelles sont les commissions appliquées lors d une échange mastercard,"Les commissions sont prélevées sur le compte en dinar, sauf pour la partie fixe qui reste en devise. Elles sont en cours de mise en production.",Transaction
quelles sont les commissions appliquées lors d une paiement mastercard,"Les commissions sont prélevées sur le compte en dinar, sauf pour la partie fixe qui reste en devise. Elles sont en cours de mise en production.",Transaction
quelles sont les commissions appliquées lors d une opération mastercard,"Les commissions sont prélevées sur le compte en dinar, sauf pour la partie fixe qui reste en devise. Elles sont en cours de mise en production.",Transaction
quels sont les acteurs impliqués dans une transaction de paiement par carte ,"Les acteurs impliqués sont le porteur, le commerçant, l'acquéreur, le réseau, et l'émetteur.",Transaction
quels sont les acteurs impliqués dans une échange de paiement par carte,"Les acteurs impliqués sont le porteur, le commerçant, l'acquéreur, le réseau, et l'émetteur.",Transaction
quels sont les acteurs impliqués dans une transaction de paiement par cb,"Les acteurs impliqués sont le porteur, le commerçant, l'acquéreur, le réseau, et l'émetteur.",Transaction
quels sont les acteurs impliqués dans une paiement de paiement par carte,"Les acteurs impliqués sont le porteur, le commerçant, l'acquéreur, le réseau, et l'émetteur.",Transaction
qu’estce qu’un litige monétique lors d’un retrait ,"C’est lorsque le porteur effectue une opération de retrait sur un DAB, mais ne reçoit pas d’argent, alors que le montant a été débité de son compte.",Transaction
pourriezvous expliquer qu’estce qu’un litige monétique lors d’un retrait ,"C’est lorsque le porteur effectue une opération de retrait sur un DAB, mais ne reçoit pas d’argent, alors que le montant a été débité de son compte.",Transaction
je souhaiterais comprendre qu’estce qu’un litige monétique lors d’un retrait ,"C’est lorsque le porteur effectue une opération de retrait sur un DAB, mais ne reçoit pas d’argent, alors que le montant a été débité de son compte.",Transaction
à propos de qu’estce qu’un litige monétique lors d’un retrait  pourriezvous détailler ,"C’est lorsque le porteur effectue une opération de retrait sur un DAB, mais ne reçoit pas d’argent, alors que le montant a été débité de son compte.",Transaction
que faire en cas de retrait non délivré mais débité ,Se présenter à l’agence émettrice et remplir un formulaire de réclamation. L’agence vérifie les documents et transmet à la Direction des Moyens de Paiement.,Transaction
pourriezvous expliquer que faire en cas de retrait non délivré mais débité ,Se présenter à l’agence émettrice et remplir un formulaire de réclamation. L’agence vérifie les documents et transmet à la Direction des Moyens de Paiement.,Transaction
je souhaiterais comprendre que faire en cas de retrait non délivré mais débité ,Se présenter à l’agence émettrice et remplir un formulaire de réclamation. L’agence vérifie les documents et transmet à la Direction des Moyens de Paiement.,Transaction
à propos de que faire en cas de retrait non délivré mais débité  pourriezvous détailler ,Se présenter à l’agence émettrice et remplir un formulaire de réclamation. L’agence vérifie les documents et transmet à la Direction des Moyens de Paiement.,Transaction
quels documents fournir pour une réclamation de retrait ,"Le formulaire de réclamation signé, le ticket de transaction, la bande journal du DAB ou l’arrêté de caisse.",Transaction
pourriezvous expliquer quels documents fournir pour une réclamation de retrait ,"Le formulaire de réclamation signé, le ticket de transaction, la bande journal du DAB ou l’arrêté de caisse.",Transaction
je souhaiterais comprendre quels documents fournir pour une réclamation de retrait ,"Le formulaire de réclamation signé, le ticket de transaction, la bande journal du DAB ou l’arrêté de caisse.",Transaction
à propos de quels documents fournir pour une réclamation de retrait  pourriezvous détailler ,"Le formulaire de réclamation signé, le ticket de transaction, la bande journal du DAB ou l’arrêté de caisse.",Transaction
quel est le délai de traitement d’un litige retrait ,La SATIM traite la réclamation dans un délai de 4 jours après réception du fichier réclamation.,Transaction
pourriezvous expliquer quel est le délai de traitement d’un litige retrait ,La SATIM traite la réclamation dans un délai de 4 jours après réception du fichier réclamation.,Transaction
je souhaiterais comprendre quel est le délai de traitement d’un litige retrait ,La SATIM traite la réclamation dans un délai de 4 jours après réception du fichier réclamation.,Transaction
à propos de quel est le délai de traitement d’un litige retrait  pourriezvous détailler ,La SATIM traite la réclamation dans un délai de 4 jours après réception du fichier réclamation.,Transaction
comment savoir si une transaction a été régularisée ,Une lettre de confirmation de régularisation est envoyée à l’agence après traitement par la SATIM.,Transaction
comment savoir si une échange a été régularisée,Une lettre de confirmation de régularisation est envoyée à l’agence après traitement par la SATIM.,Transaction
comment savoir si une paiement a été régularisée,Une lettre de confirmation de régularisation est envoyée à l’agence après traitement par la SATIM.,Transaction
comment savoir si une opération a été régularisée,Une lettre de confirmation de régularisation est envoyée à l’agence après traitement par la SATIM.,Transaction
et si la réclamation est rejetée ,La DMP informe l’agence par lettre de rejet. L’agence doit informer le client et conserver une copie du rejet.,Transaction
pourriezvous expliquer et si la réclamation est rejetée ,La DMP informe l’agence par lettre de rejet. L’agence doit informer le client et conserver une copie du rejet.,Transaction
je souhaiterais comprendre et si la réclamation est rejetée ,La DMP informe l’agence par lettre de rejet. L’agence doit informer le client et conserver une copie du rejet.,Transaction
à propos de et si la réclamation est rejetée  pourriezvous détailler ,La DMP informe l’agence par lettre de rejet. L’agence doit informer le client et conserver une copie du rejet.,Transaction
que faire en cas de litige sur un paiement par carte cib ,"Le porteur doit remplir un formulaire de réclamation à l’agence, avec toutes les informations de la transaction.",Transaction
que faire en cas de litige sur un paiement par cb cib,"Le porteur doit remplir un formulaire de réclamation à l’agence, avec toutes les informations de la transaction.",Transaction
que faire en cas de litige sur un paiement par carte bancaire cib,"Le porteur doit remplir un formulaire de réclamation à l’agence, avec toutes les informations de la transaction.",Transaction
que faire en cas de litige sur un paiement par carte de paiement cib,"Le porteur doit remplir un formulaire de réclamation à l’agence, avec toutes les informations de la transaction.",Transaction
quels sont les cas de litige de paiement ,"Paiement non reconnu, double paiement, erreur de montant, service non rendu, remboursement non reçu, etc.",Transaction
décrivezmoi les cas de litige de paiement,"Paiement non reconnu, double paiement, erreur de montant, service non rendu, remboursement non reçu, etc.",Transaction
comment se déroule les cas de litige de paiement ,"Paiement non reconnu, double paiement, erreur de montant, service non rendu, remboursement non reçu, etc.",Transaction
pouvezvous décrire les cas de litige de paiement ,"Paiement non reconnu, double paiement, erreur de montant, service non rendu, remboursement non reçu, etc.",Transaction
le commerçant peutil aussi faire une réclamation ,"Oui, si le montant crédité est incorrect ou s’il n’a pas été crédité malgré le paiement effectué.",Transaction
pourriezvous expliquer le commerçant peutil aussi faire une réclamation ,"Oui, si le montant crédité est incorrect ou s’il n’a pas été crédité malgré le paiement effectué.",Transaction
je souhaiterais comprendre le commerçant peutil aussi faire une réclamation ,"Oui, si le montant crédité est incorrect ou s’il n’a pas été crédité malgré le paiement effectué.",Transaction
à propos de le commerçant peutil aussi faire une réclamation  pourriezvous détailler ,"Oui, si le montant crédité est incorrect ou s’il n’a pas été crédité malgré le paiement effectué.",Transaction
quel est le délai de réclamation pour un litige paiement ,Le délai est de 90 jours maximum après la transaction.,Transaction
pourriezvous expliquer quel est le délai de réclamation pour un litige paiement ,Le délai est de 90 jours maximum après la transaction.,Transaction
je souhaiterais comprendre quel est le délai de réclamation pour un litige paiement ,Le délai est de 90 jours maximum après la transaction.,Transaction
à propos de quel est le délai de réclamation pour un litige paiement  pourriezvous détailler ,Le délai est de 90 jours maximum après la transaction.,Transaction
qu’estce qu’un litige de retrait ,"C’est lorsque le porteur effectue un retrait au DAB mais ne reçoit pas l’argent, bien que le montant ait été débité.",Transaction
pourriezvous expliquer qu’estce qu’un litige de retrait ,"C’est lorsque le porteur effectue un retrait au DAB mais ne reçoit pas l’argent, bien que le montant ait été débité.",Transaction
je souhaiterais comprendre qu’estce qu’un litige de retrait ,"C’est lorsque le porteur effectue un retrait au DAB mais ne reçoit pas l’argent, bien que le montant ait été débité.",Transaction
à propos de qu’estce qu’un litige de retrait  pourriezvous détailler ,"C’est lorsque le porteur effectue un retrait au DAB mais ne reçoit pas l’argent, bien que le montant ait été débité.",Transaction
où doiton formuler une réclamation en cas de litige de retrait ,Au niveau de l’agence domiciliataire du porteur.,Transaction
pourriezvous expliquer où doiton formuler une réclamation en cas de litige de retrait ,Au niveau de l’agence domiciliataire du porteur.,Transaction
je souhaiterais comprendre où doiton formuler une réclamation en cas de litige de retrait ,Au niveau de l’agence domiciliataire du porteur.,Transaction
à propos de où doiton formuler une réclamation en cas de litige de retrait  pourriezvous détailler ,Au niveau de l’agence domiciliataire du porteur.,Transaction
quels documents doivent être transmis à la direction des moyens de paiement ,"- Formulaire de réclamation signé
- Ticket de la transaction
- Copie de la bande journal de la journée concernée",Transaction
pourriezvous expliquer quels documents doivent être transmis à la direction des moyens de paiement ,"- Formulaire de réclamation signé
- Ticket de la transaction
- Copie de la bande journal de la journée concernée",Transaction
je souhaiterais comprendre quels documents doivent être transmis à la direction des moyens de paiement ,"- Formulaire de réclamation signé
- Ticket de la transaction
- Copie de la bande journal de la journée concernée",Transaction
à propos de quels documents doivent être transmis à la direction des moyens de paiement  pourriezvous détailler ,"- Formulaire de réclamation signé
- Ticket de la transaction
- Copie de la bande journal de la journée concernée",Transaction
que fait la satim à réception du fichier réclamation ,Elle contrôle la transaction dans un délai de 4 jours et envoie une réponse : régularisation ou rejet.,Transaction
pourriezvous expliquer que fait la satim à réception du fichier réclamation ,Elle contrôle la transaction dans un délai de 4 jours et envoie une réponse : régularisation ou rejet.,Transaction
je souhaiterais comprendre que fait la satim à réception du fichier réclamation ,Elle contrôle la transaction dans un délai de 4 jours et envoie une réponse : régularisation ou rejet.,Transaction
à propos de que fait la satim à réception du fichier réclamation  pourriezvous détailler ,Elle contrôle la transaction dans un délai de 4 jours et envoie une réponse : régularisation ou rejet.,Transaction
qu’estce que la direction des moyens de paiement fait après confirmation satim ,Elle établit une lettre de confirmation de régularisation de la transaction litigieuse.,Transaction
pourriezvous expliquer qu’estce que la direction des moyens de paiement fait après confirmation satim ,Elle établit une lettre de confirmation de régularisation de la transaction litigieuse.,Transaction
je souhaiterais comprendre qu’estce que la direction des moyens de paiement fait après confirmation satim ,Elle établit une lettre de confirmation de régularisation de la transaction litigieuse.,Transaction
à propos de qu’estce que la direction des moyens de paiement fait après confirmation satim  pourriezvous détailler ,Elle établit une lettre de confirmation de régularisation de la transaction litigieuse.,Transaction
quel est le délai pour la banque acquéreur de traiter une réclamation avec informations à vérifier ,Maximum 15 jours.,Transaction
pourriezvous expliquer quel est le délai pour la banque acquéreur de traiter une réclamation avec informations à vérifier ,Maximum 15 jours.,Transaction
je souhaiterais comprendre quel est le délai pour la banque acquéreur de traiter une réclamation avec informations à vérifier ,Maximum 15 jours.,Transaction
à propos de quel est le délai pour la banque acquéreur de traiter une réclamation avec informations à vérifier  pourriezvous détailler ,Maximum 15 jours.,Transaction
quels sont les cas de litiges de paiement ,"- Transaction non reconnue
- Double paiement
- Paiement sans service
- Erreur sur montant
- Remboursement non crédité",Transaction
décrivezmoi les cas de litiges de paiement,"- Transaction non reconnue
- Double paiement
- Paiement sans service
- Erreur sur montant
- Remboursement non crédité",Transaction
comment se déroule les cas de litiges de paiement ,"- Transaction non reconnue
- Double paiement
- Paiement sans service
- Erreur sur montant
- Remboursement non crédité",Transaction
pouvezvous décrire les cas de litiges de paiement ,"- Transaction non reconnue
- Double paiement
- Paiement sans service
- Erreur sur montant
- Remboursement non crédité",Transaction
quel est le délai pour formuler une réclamation paiement ,90 jours après la transaction.,Transaction
pourriezvous expliquer quel est le délai pour formuler une réclamation paiement ,90 jours après la transaction.,Transaction
je souhaiterais comprendre quel est le délai pour formuler une réclamation paiement ,90 jours après la transaction.,Transaction
à propos de quel est le délai pour formuler une réclamation paiement  pourriezvous détailler ,90 jours après la transaction.,Transaction
que se passetil après une confirmation de régularisation d’un paiement ,"La Direction informe l’agence, qui crédite le compte client par virement.",Transaction
pourriezvous expliquer que se passetil après une confirmation de régularisation d’un paiement ,"La Direction informe l’agence, qui crédite le compte client par virement.",Transaction
je souhaiterais comprendre que se passetil après une confirmation de régularisation d’un paiement ,"La Direction informe l’agence, qui crédite le compte client par virement.",Transaction
à propos de que se passetil après une confirmation de régularisation d’un paiement  pourriezvous détailler ,"La Direction informe l’agence, qui crédite le compte client par virement.",Transaction
que faiton en cas de rejet de régularisation ,L’agence informe le client et garde une copie du rejet.,Transaction
pourriezvous expliquer que faiton en cas de rejet de régularisation ,L’agence informe le client et garde une copie du rejet.,Transaction
je souhaiterais comprendre que faiton en cas de rejet de régularisation ,L’agence informe le client et garde une copie du rejet.,Transaction
à propos de que faiton en cas de rejet de régularisation  pourriezvous détailler ,L’agence informe le client et garde une copie du rejet.,Transaction
en cas de litige commerçant qui est concerné ,"Le commerçant, pas le porteur. La procédure reste identique",Transaction
pourriezvous expliquer en cas de litige commerçant qui est concerné ,"Le commerçant, pas le porteur. La procédure reste identique",Transaction
je souhaiterais comprendre en cas de litige commerçant qui est concerné ,"Le commerçant, pas le porteur. La procédure reste identique",Transaction
à propos de en cas de litige commerçant qui est concerné  pourriezvous détailler ,"Le commerçant, pas le porteur. La procédure reste identique",Transaction
à quoi sert le menu « transaction » dans lapplication mastercard ,Il permet de consulter les transactions des porteurs de carte.,Transaction
à quoi sert le menu échange dans l application mastercard,Il permet de consulter les transactions des porteurs de carte.,Transaction
à quoi sert le menu paiement dans l application mastercard,Il permet de consulter les transactions des porteurs de carte.,Transaction
à quoi sert le menu opération dans l application mastercard,Il permet de consulter les transactions des porteurs de carte.,Transaction
où puisje consulter la liste des transactions des porteurs de carte ,Dans le menu « TRANSACTION » de l'application.,Transaction
où puis je consulter la liste des transactions des porteurs de cb,Dans le menu « TRANSACTION » de l'application.,Transaction
où puis je consulter la liste des transactions des porteurs de carte bancaire,Dans le menu « TRANSACTION » de l'application.,Transaction
où puis je consulter la liste des transactions des porteurs de carte de paiement,Dans le menu « TRANSACTION » de l'application.,Transaction
quelles informations client sont obligatoires ,1. Adresse + Wilaya 2. NIN ou N° Passeport 3. Email (ex: ex@example.com) 4. Profession/Société 5. N° mobile,Transaction
pourriezvous expliquer quelles informations client sont obligatoires ,1. Adresse + Wilaya 2. NIN ou N° Passeport 3. Email (ex: ex@example.com) 4. Profession/Société 5. N° mobile,Transaction
je souhaiterais comprendre quelles informations client sont obligatoires ,1. Adresse + Wilaya 2. NIN ou N° Passeport 3. Email (ex: ex@example.com) 4. Profession/Société 5. N° mobile,Transaction
à propos de quelles informations client sont obligatoires  pourriezvous détailler ,1. Adresse + Wilaya 2. NIN ou N° Passeport 3. Email (ex: ex@example.com) 4. Profession/Société 5. N° mobile,Transaction
comment valider la commande de ma carte débit ,1. Saisissez correctement les numéros de compte 2. Confirmez les informations 3. Validez la commande via le menu.,Transaction
comment valider la commande de ma cb débit,1. Saisissez correctement les numéros de compte 2. Confirmez les informations 3. Validez la commande via le menu.,Transaction
comment valider la commande de ma carte bancaire débit,1. Saisissez correctement les numéros de compte 2. Confirmez les informations 3. Validez la commande via le menu.,Transaction
de quelle manière valider la commande de ma carte débit ,1. Saisissez correctement les numéros de compte 2. Confirmez les informations 3. Validez la commande via le menu.,Transaction
que faire si les informations sont erronées ,"Vérifiez les numéros saisis (ex: 421111, 4455) et recommencez. Si l'erreur persiste, contactez votre agence (00005).",Transaction
pourriezvous expliquer que faire si les informations sont erronées ,"Vérifiez les numéros saisis (ex: 421111, 4455) et recommencez. Si l'erreur persiste, contactez votre agence (00005).",Transaction
je souhaiterais comprendre que faire si les informations sont erronées ,"Vérifiez les numéros saisis (ex: 421111, 4455) et recommencez. Si l'erreur persiste, contactez votre agence (00005).",Transaction
à propos de que faire si les informations sont erronées  pourriezvous détailler ,"Vérifiez les numéros saisis (ex: 421111, 4455) et recommencez. Si l'erreur persiste, contactez votre agence (00005).",Transaction
puisje filtrer les résultats par type de carte ou état ,"Oui, le tableau affiche les colonnes : - Type_Carte - Etat_Carte - Plafond_Carte",Transaction
puis je filtrer les résultats par type de cb ou état,"Oui, le tableau affiche les colonnes : - Type_Carte - Etat_Carte - Plafond_Carte",Transaction
puis je filtrer les résultats par type de carte bancaire ou état,"Oui, le tableau affiche les colonnes : - Type_Carte - Etat_Carte - Plafond_Carte",Transaction
puis je filtrer les résultats par type de carte de paiement ou état,"Oui, le tableau affiche les colonnes : - Type_Carte - Etat_Carte - Plafond_Carte",Transaction
quelles informations sont disponibles pour chaque commande ,1. N° Contrat 2. Nom/Prénom 3. Type_Carte 4. Plafond_Carte 5.Etat_Carte 6.Date_Saisie,Transaction
pourriezvous expliquer quelles informations sont disponibles pour chaque commande ,1. N° Contrat 2. Nom/Prénom 3. Type_Carte 4. Plafond_Carte 5.Etat_Carte 6.Date_Saisie,Transaction
je souhaiterais comprendre quelles informations sont disponibles pour chaque commande ,1. N° Contrat 2. Nom/Prénom 3. Type_Carte 4. Plafond_Carte 5.Etat_Carte 6.Date_Saisie,Transaction
à propos de quelles informations sont disponibles pour chaque commande  pourriezvous détailler ,1. N° Contrat 2. Nom/Prénom 3. Type_Carte 4. Plafond_Carte 5.Etat_Carte 6.Date_Saisie,Transaction
comment consulter mes transactions par carte ,Saisissez le numéro de carte et une plage de dates (AAAA-MM-JJ) puis cliquez sur Redirector.,Transaction
comment consulter mes transactions par cb,Saisissez le numéro de carte et une plage de dates (AAAA-MM-JJ) puis cliquez sur Redirector.,Transaction
comment consulter mes transactions par carte bancaire,Saisissez le numéro de carte et une plage de dates (AAAA-MM-JJ) puis cliquez sur Redirector.,Transaction
de quelle manière consulter mes transactions par carte ,Saisissez le numéro de carte et une plage de dates (AAAA-MM-JJ) puis cliquez sur Redirector.,Transaction
comment filtrer les transactions sur une période spécifique ,Utilisez les champs DATE DE PRESENTATION ENTRE pour définir un intervalle (ex: 2023-01-01 ET 2023-12-31).,Transaction
de quelle manière filtrer les transactions sur une période spécifique ,Utilisez les champs DATE DE PRESENTATION ENTRE pour définir un intervalle (ex: 2023-01-01 ET 2023-12-31).,Transaction
quelle est la méthode pour filtrer les transactions sur une période spécifique ,Utilisez les champs DATE DE PRESENTATION ENTRE pour définir un intervalle (ex: 2023-01-01 ET 2023-12-31).,Transaction
pourriezvous expliquer comment filtrer les transactions sur une période spécifique ,Utilisez les champs DATE DE PRESENTATION ENTRE pour définir un intervalle (ex: 2023-01-01 ET 2023-12-31).,Transaction
quelles informations sont disponibles pour chaque transaction ,Le tableau affiche : - N° Carte - Nom marchand - Montant (Euro/réel) - Type transaction - Dates (transaction/compensation),Transaction
quelles informations sont disponibles pour chaque échange,Le tableau affiche : - N° Carte - Nom marchand - Montant (Euro/réel) - Type transaction - Dates (transaction/compensation),Transaction
quelles informations sont disponibles pour chaque paiement,Le tableau affiche : - N° Carte - Nom marchand - Montant (Euro/réel) - Type transaction - Dates (transaction/compensation),Transaction
quelles informations sont disponibles pour chaque opération,Le tableau affiche : - N° Carte - Nom marchand - Montant (Euro/réel) - Type transaction - Dates (transaction/compensation),Transaction
que faire si le tableau est vide après recherche ,Vérifiez : 1. La plage de dates 2. Le numéro de carte 3. Que des transactions existent sur la période,Transaction
pourriezvous expliquer que faire si le tableau est vide après recherche ,Vérifiez : 1. La plage de dates 2. Le numéro de carte 3. Que des transactions existent sur la période,Transaction
je souhaiterais comprendre que faire si le tableau est vide après recherche ,Vérifiez : 1. La plage de dates 2. Le numéro de carte 3. Que des transactions existent sur la période,Transaction
à propos de que faire si le tableau est vide après recherche  pourriezvous détailler ,Vérifiez : 1. La plage de dates 2. Le numéro de carte 3. Que des transactions existent sur la période,Transaction
comment voir seulement les transactions en euros ,"Filtrez la colonne En / Hors EUR pour afficher \EUR\"".""",Transaction
de quelle manière voir seulement les transactions en euros ,"Filtrez la colonne En / Hors EUR pour afficher \EUR\"".""",Transaction
quelle est la méthode pour voir seulement les transactions en euros ,"Filtrez la colonne En / Hors EUR pour afficher \EUR\"".""",Transaction
pourriezvous expliquer comment voir seulement les transactions en euros ,"Filtrez la colonne En / Hors EUR pour afficher \EUR\"".""",Transaction
que signifie dorser réel ,Probablement une erreur pour Montant réel (vérifiez avec l'agence).,Transaction
pourriezvous expliquer que signifie dorser réel ,Probablement une erreur pour Montant réel (vérifiez avec l'agence).,Transaction
je souhaiterais comprendre que signifie dorser réel ,Probablement une erreur pour Montant réel (vérifiez avec l'agence).,Transaction
à propos de que signifie dorser réel  pourriezvous détailler ,Probablement une erreur pour Montant réel (vérifiez avec l'agence).,Transaction
que faire si le plafond est dépassé ,"Consultez le plafond hebdomadaire dans le système. Si atteint, informez le client qu'il doit attendre le recalcul (généralement 7 jours).",Transaction
pourriezvous expliquer que faire si le plafond est dépassé ,"Consultez le plafond hebdomadaire dans le système. Si atteint, informez le client qu'il doit attendre le recalcul (généralement 7 jours).",Transaction
je souhaiterais comprendre que faire si le plafond est dépassé ,"Consultez le plafond hebdomadaire dans le système. Si atteint, informez le client qu'il doit attendre le recalcul (généralement 7 jours).",Transaction
à propos de que faire si le plafond est dépassé  pourriezvous détailler ,"Consultez le plafond hebdomadaire dans le système. Si atteint, informez le client qu'il doit attendre le recalcul (généralement 7 jours).",Transaction
ma transaction a échoué ,"\Vérifions d'abord l'état de votre carte. Est-elle active (statut A) ?\"" \""Avez-vous assez de solde sur votre compte ?\"" \""Pouvez-me confirmer le numéro de carte et le CVV utilisés ?\"" \""Quel message d'erreur s'affiche-t-il ?\""""",Transaction
ma échange a échoué,"\Vérifions d'abord l'état de votre carte. Est-elle active (statut A) ?\"" \""Avez-vous assez de solde sur votre compte ?\"" \""Pouvez-me confirmer le numéro de carte et le CVV utilisés ?\"" \""Quel message d'erreur s'affiche-t-il ?\""""",Transaction
ma paiement a échoué,"\Vérifions d'abord l'état de votre carte. Est-elle active (statut A) ?\"" \""Avez-vous assez de solde sur votre compte ?\"" \""Pouvez-me confirmer le numéro de carte et le CVV utilisés ?\"" \""Quel message d'erreur s'affiche-t-il ?\""""",Transaction
ma opération a échoué,"\Vérifions d'abord l'état de votre carte. Est-elle active (statut A) ?\"" \""Avez-vous assez de solde sur votre compte ?\"" \""Pouvez-me confirmer le numéro de carte et le CVV utilisés ?\"" \""Quel message d'erreur s'affiche-t-il ?\""""",Transaction
où puisje consulter mes transactions récentes ,Sélectionnez TRANSACTION dans le menu principal.,Transaction
pourriezvous expliquer où puisje consulter mes transactions récentes ,Sélectionnez TRANSACTION dans le menu principal.,Transaction
je souhaiterais comprendre où puisje consulter mes transactions récentes ,Sélectionnez TRANSACTION dans le menu principal.,Transaction
à propos de où puisje consulter mes transactions récentes  pourriezvous détailler ,Sélectionnez TRANSACTION dans le menu principal.,Transaction
pourquoi mon virement nestil pas visible immédiatement ,Le système traite les virements sous 48h. Effectuez-les au moins 48h avant la date limite.,Transaction
pourriezvous expliquer pourquoi mon virement nestil pas visible immédiatement ,Le système traite les virements sous 48h. Effectuez-les au moins 48h avant la date limite.,Transaction
je souhaiterais comprendre pourquoi mon virement nestil pas visible immédiatement ,Le système traite les virements sous 48h. Effectuez-les au moins 48h avant la date limite.,Transaction
à propos de pourquoi mon virement nestil pas visible immédiatement  pourriezvous détailler ,Le système traite les virements sous 48h. Effectuez-les au moins 48h avant la date limite.,Transaction
